days,precision,recall,f1-score,support
6,0.915789474,0.945652174,0.930481283,92
9,0.95412844,0.95412844,0.95412844,109
12,0.948979592,0.920792079,0.934673367,101
15,1,0.958677686,0.978902954,121
18,0.882352941,0.9,0.891089109,100
21,0.837209302,0.923076923,0.87804878,78
24,0.816793893,0.816793893,0.816793893,131
27,0.783505155,0.64957265,0.710280374,117
30,0.703703704,0.723809524,0.713615023,105
33,0.573643411,0.698113208,0.629787234,106
36,0.788235294,0.67,0.724324324,100
39,0.868686869,0.905263158,0.886597938,95
accuracy,,,0.835059761,1255
macro avg,0.839419006,0.838823311,0.83739356,1255
weighted avg,0.839323638,0.835059761,0.83545763,1255
