days,precision,recall,f1-score,support
6,1,0.860655738,0.925110132,122
9,0.824,0.944954128,0.88034188,109
12,0.909836066,0.917355372,0.913580247,121
15,0.964285714,0.835051546,0.895027624,97
18,0.701030928,0.819277108,0.755555556,83
21,0.788990826,0.895833333,0.83902439,96
24,0.787610619,0.73553719,0.760683761,121
27,0.921348315,0.82,0.867724868,100
30,0.65,0.691489362,0.670103093,94
33,0.58490566,0.652631579,0.616915423,95
36,0.75257732,0.629310345,0.685446009,116
39,0.833333333,0.891089109,0.861244019,101
