days,precision,recall,f1-score,support
6,0.839694656,0.839694656,0.839694656,131
9,0.629139073,0.736434109,0.678571429,129
12,0.745454545,0.625954198,0.680497925,131
15,0.7,0.331081081,0.449541284,148
18,0.532846715,0.598360656,0.563706564,122
21,0.571428571,0.179104478,0.272727273,134
24,0.488888889,0.360655738,0.41509434,122
27,0.233974359,0.593495935,0.335632184,123
30,0.623529412,0.386861314,0.477477477,137
33,0.35078534,0.536,0.424050633,125
36,0.326923077,0.354166667,0.34,144
39,0.612903226,0.467213115,0.530232558,122
accuracy,,,0.496173469,1568
macro avg,0.554630655,0.500751829,0.500602194,1568
weighted avg,0.557103519,0.496173469,0.499058732,1568
